name,location,price,duration
Excursion oran,Excursion oran,1000.0,1.0
Excursion Tipasa/Cherchell,Cherchell,1200.0,1.0
Excursion Tipasa,Excursion Tipasa,1200.0,1.0
Circuit Ghardaia,Circuit Ghardaia,33000.0,33.0
Circuit Tamanrasset le hoggar,Circuit Tamanrasset le hoggar,34000.0,34.0
Circuit le hoggar,Circuit le hoggar,44000.0,44.0
Circuit Djanet,Circuit Djanet,58300.0,58.0
Séjour Bejaia,Séjour Bejaia,21500.0,21.0
Circuit CONSTATINE,Circuit CONSTATINE,37500.0,37.0
Circuit BOUSAADA,Circuit BOUSAADA,27200.0,27.0
Circuit BISKRA,Circuit BISKRA,27700.0,27.0
Circuit Ouled Djallel,Circuit Ouled Djallel,29000.0,29.0
brezina et tiout,brezina et tiout,42000.0,42.0
Séjour hippone,Séjour hippone,25000.0,25.0
Séjour Thermal à l’Ouest,Séjour Thermal à l’Ouest,42000.0,42.0
Circuit La Saoura,Circuit La Saoura,27000.0,27.0
Circuit La Saoura,Circuit La Saoura,52500.0,52.0
Séjour Mini Saoura,Séjour Mini Saoura,24000.0,24.0
Séjour Adrar le Touat,Séjour Adrar le Touat,42500.0,42.0
Séjour Oranie Mediterranean Village,Séjour Oranie Mediterranean,25000.0,25.0
