name,type,location,price,duration,rating,cost_per_day,cluster,cluster_label
Excursion oran,offer,Excursion oran,1000.0,1.0,,1000.0,2,budget
Excursion Tipasa/Cherchell,offer,Cherchell,1200.0,1.0,,1200.0,2,budget
Excursion Tipasa,offer,Excursion Tipasa,1200.0,1.0,,1200.0,2,budget
Circuit Ghardaia,offer,Circuit Ghardaia,33000.0,33.0,,1000.0,2,budget
Circuit Tamanrasset le hoggar,offer,Circuit Tamanrasset le hoggar,34000.0,34.0,,1000.0,2,budget
Circuit le hoggar,offer,Circuit le hoggar,44000.0,44.0,,1000.0,2,budget
Circuit Djanet,offer,Circuit Djanet,58300.0,58.0,,1005.1724137931035,2,budget
Séjour Bejaia,offer,Séjour Bejaia,21500.0,21.0,,1023.8095238095239,2,budget
Circuit CONSTATINE,offer,Circuit CONSTATINE,37500.0,37.0,,1013.5135135135135,2,budget
Circuit BOUSAADA,offer,Circuit BOUSAADA,27200.0,27.0,,1007.4074074074074,2,budget
Circuit BISKRA,offer,Circuit BISKRA,27700.0,27.0,,1025.9259259259259,2,budget
Circuit Ouled Djallel,offer,Circuit Ouled Djallel,29000.0,29.0,,1000.0,2,budget
brezina et tiout,offer,brezina et tiout,42000.0,42.0,,1000.0,2,budget
Séjour hippone,offer,Séjour hippone,25000.0,25.0,,1000.0,2,budget
Séjour Thermal à l’Ouest,offer,Séjour Thermal à l’Ouest,42000.0,42.0,,1000.0,2,budget
Circuit La Saoura,offer,Circuit La Saoura,27000.0,27.0,,1000.0,2,budget
Circuit La Saoura,offer,Circuit La Saoura,52500.0,52.0,,1009.6153846153846,2,budget
Séjour Mini Saoura,offer,Séjour Mini Saoura,24000.0,24.0,,1000.0,2,budget
Séjour Adrar le Touat,offer,Séjour Adrar le Touat,42500.0,42.0,,1011.9047619047619,2,budget
Séjour Oranie Mediterranean Village,offer,Séjour Oranie Mediterranean,25000.0,25.0,,1000.0,2,budget
voyages tunis par bus hotel soviva,hotel,Costa Voyages,39990.0,1.0,,39990.0,2,budget
VISA USA / UK / CANADA,offer,Cheval Blanc Voyages,50000.0,1.0,,50000.0,2,budget
Caire & Sharm El Sheikh AVRIL MAI,offer,NATIONAL TRESOR VOYAGE,176000.0,1.0,,176000.0,0,mid-range
voyage,offer,Get Tours,227000.0,1.0,,227000.0,0,mid-range
Voyage organisé istanbul,offer,Alibi voyage,116000.0,1.0,,116000.0,2,budget
Circuit USA,offer,Agence Marhaba,450000.0,1.0,,450000.0,0,mid-range
qatar اقامة قطر مدة سنتين,offer,Costa Voyages,25000.0,1.0,,25000.0,2,budget
voyage organisé Istanbul AVRIL,offer,NATIONAL TRESOR VOYAGE,117000.0,1.0,,117000.0,2,budget
Voyage Organisé La Tunisie,offer,Ardente Travel,89500.0,1.0,,89500.0,2,budget
Vacances de Printemps à TAGHIT Du 25 AU 28 Mars par avion et vivez le désert en grand confort à l'hotel SAOURA,hotel,Terre Inconnue,60000.0,1.0,,60000.0,2,budget
SHARM EL SHEIKH - CAIRE - AVRIL MAI -2026 --,offer,maitre voyage,180000.0,1.0,,180000.0,0,mid-range
voyage,offer,Get Tours,197000.0,1.0,,197000.0,0,mid-range
ISTANBUL MARS/AVRIL 2026,offer,maitre voyage,120000.0,1.0,,120000.0,2,budget
Djanet en bivouac du 19 avril au 25 avril,offer,Melyna voyages,85000.0,1.0,,85000.0,2,budget
VOYAGE ORGANISE TUNISIE PAR AVION,offer,NATIONAL TRESOR VOYAGE,63500.0,1.0,,63500.0,2,budget
Voyage Organisé Istanbul - Voyage a la carte رحلة الأحلام,offer,PLANET ROAMER .Dz,125000.0,1.0,,125000.0,2,budget
voyage organisé russie mars-avril 2026,offer,Talamou voyage,239000.0,1.0,,239000.0,0,mid-range
Voyage organisé Istanbul,offer,Talamou voyage,12000.0,1.0,,12000.0,2,budget
AZERBAIDJAN avril/ mai / juin/ juillet 2026,offer,maitre voyage,219000.0,1.0,,219000.0,0,mid-range
VOYAGE PERSONNALISÉ EN AZERBAÏDJAN,offer,Maneyad travel,1.0,1.0,,1.0,2,budget
Location Appartements Hôtels de Haut Standing,hotel,Maneyad travel,1.0,1.0,,1.0,2,budget
big offre !!! voyges bali,offer,Costa Voyages,399000.0,1.0,,399000.0,0,mid-range
Voyage organisé Azerbaïdjan Bakou &Gabala mois de novembre,offer,EL KINANA VOYAGE,168000.0,1.0,,168000.0,0,mid-range
VOYAGE ORGANISE MALAISIE & BALI AVRIL 2026,offer,maitre voyage,379000.0,1.0,,379000.0,0,mid-range
voyage organisé Djerba Tunisie,offer,Talamou voyage,49990.0,1.0,,49990.0,2,budget
ISTANBUL POUR LE MOIS DE DECEMBRE À PARTIR DE 120000 DA,offer,Numidia travel Constantine,120000.0,1.0,,120000.0,2,budget
AZERBAÏDJAN Voyage organisé,offer,zims travel,219000.0,1.0,,219000.0,0,mid-range
Azerbaïdjan Bakou & Gabala,offer,VALDIVIAEVENT,196000.0,1.0,,196000.0,0,mid-range
Azerbaïdjan avril/ mai/ juin/ juillet,offer,Melyna voyages,219000.0,1.0,,219000.0,0,mid-range
VOYAGE Spécial Vacances de Printemps - NAÂMA,offer,Village Des Voyages,37900.0,1.0,,37900.0,2,budget
voyages organisse QATAR,offer,Costa Voyages,200000.0,1.0,,200000.0,0,mid-range
big offre!! voyage organisé caire,offer,Costa Voyages,184000.0,1.0,,184000.0,0,mid-range
VOYAGE ORGANISE CHINE,offer,Agence Rise up Travel,305000.0,1.0,,305000.0,0,mid-range
Malaisie voyage organise circuit de 3 villes 344 999,offer,NATIONAL TRESOR VOYAGE,349999.0,1.0,,349999.0,0,mid-range
